player_name,player_id,season,poss,MP,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
De'Anthony Melton,meltode01,2021,1813,844,1.587890754463076,1.696880089590535,3.284770844053611,1.851826612863833,4.731148091477086,6.58297470434092,1.742515670279176,2.41797132678626,4.160486997065437,2.989836539268977,2.989836539268977,0,2.29459256602022,2.459193203007731,4.753785769027951,.4788853942894629
Sam Merrill,merrisa01,2021,434,199,1.881039335531871,-2.608006749120733,-.7269674135888629,-4.592500073062232,.8351650175978403,-3.757335055464392,.5907966208694906,-2.104607761089941,-1.51381114022045,.1262525305691235,.1262525305691235,0,1.593758914526737,-2.810200017297115,-1.216441102770378,.5970615845062697
Chimezie Metu,metuch01,2021,690,318,-2.383265525817026,-1.645174784298686,-4.028440310115712,1.507587713153563,-5.659318902026868,-4.151731188873305,-1.722493285294666,-2.432121432696228,-4.154614717990894,-.228116875954113,-.228116875954113,0,-.9528443349874144,-2.44512134307682,-3.397965678064234,.1005848492542264
Khris Middleton,middlkh01,2021,4231,1966,2.693137161108954,-.3654014439236208,2.327735717185333,-.4855428020594889,-2.570911817938052,-3.056454619997541,2.099622965078761,-.8865471573446146,1.213075807734146,4.011445091622377,4.011445091622377,0,2.369518195849027,-.3056280527912235,2.063890143057804,.9208089394669663
Darius Miller,milleda01,2021,430,197,2.679056252410906,2.584519029564253,5.263575281975159,.3246444848258422,6.366544552664244,6.691189037490087,2.421548933139238,3.561758229637732,5.983307162776971,.8770499683519277,.8770499683519277,0,.6886039086220912,2.06890696353708,2.757510872159171,-.083873412117135
Paul Millsap,millspa01,2021,2079,1030,.1135435442552654,2.088361863140243,2.201905407395508,-.6726239295562706,-1.302706703037653,-1.975330632593924,-.1028607155947961,1.498778889500109,1.395918173905313,2.178521936728408,2.178521936728408,0,.0126120065214079,1.663385426250285,1.675997432771693,-.0084741460103603
Patty Mills,millspa02,2021,3114,1470,1.101917329117542,-2.745680269956853,-1.643762940839311,-3.428446882189037,6.651916728215624,3.223469846026585,.2410002729466679,-.9637390829155104,-.7227388099688425,1.522543932446577,1.522543932446577,0,-.3832279094690343,-.9244623746463989,-1.307690284115433,.1400697941550114
Shake Milton,miltosh01,2021,2709,1276,.8325970689907299,-1.534495811453255,-.7018987424625249,-2.902295787906874,3.287558872966866,.3852630850599925,.0789762143792392,-.6772731839282806,-.5982969695490414,1.39856596317868,1.39856596317868,0,-.5012666722559226,-.4847081465398863,-.9859748187958089,-.1603338802730905
Donovan Mitchell,mitchdo01,2021,3689,1771,5.447982858339592,-1.400699568799253,4.047283289540339,.5726325382435388,-2.822565948841438,-2.2499334105979,4.674835635967275,-1.847214569389976,2.827621066577299,5.057090918463951,5.057090918463951,0,4.916565970491812,-1.435760912795997,3.480805057695814,.3474835187374725
Adam Mokoka,mokokad01,2021,117,53,-3.648375988750392,-2.360266009383428,-6.00864199813382,-16.89562297424984,6.210396282080429,-10.68522669216941,-6.5684663349676,-.6219766524781681,-7.190442987445769,-.1220195932252536,-.1220195932252536,0,-4.41546638244094,-3.447948759633685,-7.863415142074624,1.636775706483107
